2026/08/24 20:42:28.289, 54, 52.13, 150.00, 0, 0, 3553, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:29.296, 54, 52.16, 150.00, 0, 0, 3553, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:30.303, 54, 52.16, 150.00, 0, 0, 3553, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:31.315, 54, 52.23, 150.00, 0, 0, 3553, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:32.330, 54, 52.23, 150.00, 5, 0, 3743, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:33.344, 54, 52.23, 150.00, 4, 0, 7919, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:34.355, 54, 52.23, 150.00, 4, 0, 7919, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:35.375, 54, 52.13, 150.00, 4, 0, 7919, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:36.393, 55, 52.23, 150.00, 3, 0, 7919, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:37.402, 55, 52.13, 150.00, 4, 0, 7919, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:38.415, 55, 52.23, 150.00, 4, 0, 7919, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:39.432, 55, 52.22, 150.00, 4, 0, 7919, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:40.450, 55, 52.22, 150.00, 4, 0, 7919, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:41.466, 55, 52.23, 150.00, 4, 0, 7919, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:42.470, 55, 52.32, 150.00, 1, 0, 7911, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:43.485, 55, 52.32, 150.00, 9, 0, 8926, 1303, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:44.505, 58, 132.23, 150.00, 93, 73, 8958, 1354, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:45.520, 58, 140.87, 150.00, 92, 74, 8958, 1404, 3615, 3, 16, 0x0000000000000004
2026/08/24 20:42:46.535, 59, 144.02, 150.00, 92, 74, 8958, 1404, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:47.543, 59, 138.43, 150.00, 92, 72, 8958, 1366, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:48.550, 60, 142.39, 150.00, 93, 72, 8958, 1379, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:49.562, 60, 138.90, 150.00, 93, 72, 8958, 1379, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:50.577, 60, 142.91, 150.00, 93, 71, 8958, 1392, 3615, 3, 16, 0x0000000000000004
2026/08/24 20:42:51.601, 61, 144.14, 150.00, 92, 70, 8958, 1379, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:52.626, 61, 73.75, 150.00, 93, 71, 8958, 1404, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:53.640, 61, 141.91, 150.00, 93, 74, 8958, 1366, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:54.651, 61, 138.43, 150.00, 92, 73, 8958, 1366, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:55.677, 62, 137.71, 150.00, 92, 71, 8958, 1366, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:56.707, 62, 145.74, 150.00, 92, 73, 8958, 1392, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:57.742, 62, 145.62, 150.00, 93, 70, 8958, 1366, 3615, 3, 16, 0x0000000000000004
2026/08/24 20:42:58.755, 63, 143.19, 150.00, 93, 72, 8958, 1379, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:42:59.775, 63, 142.29, 150.00, 94, 72, 8958, 1379, 3615, 3, 16, 0x0000000000000004
2026/08/24 20:43:00.787, 63, 149.88, 150.00, 93, 70, 8958, 1379, 3615, 3, 16, 0x0000000000000004
2026/08/24 20:43:01.803, 63, 59.27, 150.00, 72, 58, 8958, 1455, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:43:02.808, 64, 148.90, 150.00, 93, 73, 8958, 1354, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:43:03.836, 64, 137.01, 150.00, 92, 73, 8958, 1366, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:43:04.863, 64, 140.38, 150.00, 92, 74, 8958, 1392, 3615, 3, 16, 0x0000000000000004
2026/08/24 20:43:05.870, 65, 137.19, 150.00, 92, 71, 8958, 1354, 3615, 3, 16, 0x0000000000000004
2026/08/24 20:43:06.885, 65, 140.05, 150.00, 92, 70, 8958, 1354, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:43:07.903, 65, 139.68, 150.00, 93, 71, 8958, 1366, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:43:08.928, 65, 141.96, 150.00, 93, 69, 8958, 1341, 3615, 3, 16, 0x0000000000000000
2026/08/24 20:43:09.960, 66, 138.37, 150.00, 93, 68, 8958, 1341, 3615, 3, 16, 0x0000000000000000
