2026/08/24 20:51:30.628, 68, 14.31, 0, 9, 544, 0x0000000000000001
2026/08/24 20:51:31.644, 68, 54.73, 5, 199, 1303, 0x0000000000000000
2026/08/24 20:51:32.649, 68, 54.73, 38, 4377, 1303, 0x0000000000000000
2026/08/24 20:51:33.662, 69, 55.02, 9, 5362, 1303, 0x0000000000000000
2026/08/24 20:51:34.672, 71, 141.33, 92, 5416, 1379, 0x0000000000000004
2026/08/24 20:51:35.681, 72, 146.30, 92, 5416, 1341, 0x0000000000000000
2026/08/24 20:51:36.697, 72, 150.91, 92, 5416, 1341, 0x0000000000000004
2026/08/24 20:51:37.717, 73, 145.40, 92, 5416, 1341, 0x0000000000000000
2026/08/24 20:51:38.721, 73, 142.48, 92, 5416, 1366, 0x0000000000000000
2026/08/24 20:51:39.727, 73, 145.27, 93, 5416, 1328, 0x0000000000000004
2026/08/24 20:51:40.743, 74, 146.69, 92, 5416, 1341, 0x0000000000000000
2026/08/24 20:51:41.761, 74, 145.48, 92, 5416, 1341, 0x0000000000000000
2026/08/24 20:51:42.771, 74, 153.66, 92, 5416, 1366, 0x0000000000000000
2026/08/24 20:51:43.788, 74, 133.27, 91, 5416, 1316, 0x0000000000000000
2026/08/24 20:51:44.791, 75, 139.66, 92, 5416, 1316, 0x0000000000000004
2026/08/24 20:51:45.807, 75, 147.54, 92, 5416, 1341, 0x0000000000000004
2026/08/24 20:51:46.811, 75, 148.21, 92, 5416, 1328, 0x0000000000000000
2026/08/24 20:51:47.817, 76, 142.38, 92, 5416, 1341, 0x0000000000000000
2026/08/24 20:51:48.830, 76, 149.01, 92, 5416, 1341, 0x0000000000000000
2026/08/24 20:51:49.842, 76, 148.43, 92, 5416, 1341, 0x0000000000000004
2026/08/24 20:51:50.860, 76, 137.55, 92, 5416, 1328, 0x0000000000000000
2026/08/24 20:51:51.872, 77, 143.61, 93, 5416, 1328, 0x0000000000000000
2026/08/24 20:51:52.886, 77, 139.75, 92, 5416, 1328, 0x0000000000000004
2026/08/24 20:51:53.893, 77, 136.67, 91, 5416, 1303, 0x0000000000000000
2026/08/24 20:51:54.906, 77, 143.29, 92, 5416, 1316, 0x0000000000000000
2026/08/24 20:51:55.918, 78, 138.42, 92, 5416, 1328, 0x0000000000000004
2026/08/24 20:51:56.926, 78, 146.12, 92, 5416, 1303, 0x0000000000000000
2026/08/24 20:51:57.939, 78, 134.68, 92, 5416, 1303, 0x0000000000000000
2026/08/24 20:51:58.963, 78, 141.08, 92, 5416, 1303, 0x0000000000000000
2026/08/24 20:51:59.978, 79, 141.82, 92, 5416, 1328, 0x0000000000000004
2026/08/24 20:52:00.993, 79, 152.65, 92, 5416, 1316, 0x0000000000000000
2026/08/24 20:52:01.998, 79, 144.07, 23, 5416, 1303, 0x0000000000000004
2026/08/24 20:52:03.014, 79, 153.89, 92, 5416, 1303, 0x0000000000000004
2026/08/24 20:52:04.028, 79, 139.81, 92, 5416, 1303, 0x0000000000000000
2026/08/24 20:52:05.043, 80, 147.08, 92, 5416, 1303, 0x0000000000000000
2026/08/24 20:52:06.055, 80, 145.64, 91, 5416, 1328, 0x0000000000000004
2026/08/24 20:52:07.064, 80, 146.48, 92, 5416, 1328, 0x0000000000000004
2026/08/24 20:52:08.079, 81, 142.74, 92, 5416, 1303, 0x0000000000000000
2026/08/24 20:52:09.087, 81, 138.78, 92, 5416, 1303, 0x0000000000000000
2026/08/24 20:52:10.096, 81, 144.76, 92, 5416, 1303, 0x0000000000000000
2026/08/24 20:52:11.112, 81, 59.50, 34, 5416, 1303, 0x0000000000000000
2026/08/24 20:52:12.128, 81, 143.58, 92, 5416, 1303, 0x0000000000000000
2026/08/24 20:52:13.133, 82, 138.89, 92, 5416, 1278, 0x0000000000000004
2026/08/24 20:52:14.138, 82, 148.09, 91, 5416, 1328, 0x0000000000000000
2026/08/24 20:52:15.152, 82, 138.05, 92, 5416, 1303, 0x0000000000000000
2026/08/24 20:52:16.162, 82, 144.86, 92, 5416, 1316, 0x0000000000000000
2026/08/24 20:52:17.176, 83, 148.24, 92, 5416, 1316, 0x0000000000000000
2026/08/24 20:52:18.186, 83, 144.07, 94, 5416, 1316, 0x0000000000000004
2026/08/24 20:52:19.192, 83, 143.48, 90, 5416, 1303, 0x0000000000000004
2026/08/24 20:52:20.203, 83, 143.40, 92, 5416, 1290, 0x0000000000000004
2026/08/24 20:52:21.215, 83, 142.83, 91, 5416, 1303, 0x0000000000000000
2026/08/24 20:52:22.232, 84, 149.31, 92, 5416, 1290, 0x0000000000000004
2026/08/24 20:52:23.243, 84, 140.38, 93, 5416, 1303, 0x0000000000000000
2026/08/24 20:52:24.253, 84, 145.17, 92, 5416, 1303, 0x0000000000000000
2026/08/24 20:52:25.258, 85, 150.52, 93, 5416, 1303, 0x0000000000000000
2026/08/24 20:52:26.272, 85, 137.54, 92, 5416, 1303, 0x0000000000000000
2026/08/24 20:52:27.288, 85, 147.80, 92, 5416, 1303, 0x0000000000000000
2026/
